TEST successful
------------------------------EXTRACT PLAN------------------------------
agent PreviousPosition:B, CurrentPosition:A --> g = 3822, h = 0, f = 3822, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:B --> g = 3798, h = 24, f = 3822, action: ('take', <package.Package instance at 0xe39d950>)
agent PreviousPosition:C, CurrentPosition:B --> g = 3796, h = 24, f = 3820, action: ('moveAndDrop', 'B')
agent PreviousPosition:C, CurrentPosition:C --> g = 3760, h = 60, f = 3820, action: ('take', <package.Package instance at 0xe2b4830>)
agent PreviousPosition:B, CurrentPosition:C --> g = 3758, h = 60, f = 3818, action: ('moveAndDrop', 'C')
agent PreviousPosition:C, CurrentPosition:B --> g = 3728, h = 60, f = 3788, action: ('moveAndDrop', 'B')
agent PreviousPosition:C, CurrentPosition:C --> g = 3686, h = 132, f = 3818, action: ('take', <package.Package instance at 0xe281248>)
agent PreviousPosition:C, CurrentPosition:C --> g = 3684, h = 132, f = 3816, action: ('take', <package.Package instance at 0xe19f7e8>)
agent PreviousPosition:B, CurrentPosition:C --> g = 3682, h = 132, f = 3814, action: ('moveAndDrop', 'C')
agent PreviousPosition:C, CurrentPosition:B --> g = 3652, h = 132, f = 3784, action: ('moveAndDrop', 'B')
agent PreviousPosition:C, CurrentPosition:C --> g = 3610, h = 204, f = 3814, action: ('take', <package.Package instance at 0xe0ac878>)
agent PreviousPosition:C, CurrentPosition:C --> g = 3608, h = 204, f = 3812, action: ('take', <package.Package instance at 0xe088368>)
agent PreviousPosition:B, CurrentPosition:C --> g = 3606, h = 204, f = 3810, action: ('moveAndDrop', 'C')
agent PreviousPosition:C, CurrentPosition:B --> g = 3576, h = 204, f = 3780, action: ('moveAndDrop', 'B')
agent PreviousPosition:C, CurrentPosition:C --> g = 3534, h = 276, f = 3810, action: ('take', <package.Package instance at 0xdf897e8>)
agent PreviousPosition:C, CurrentPosition:C --> g = 3532, h = 276, f = 3808, action: ('take', <package.Package instance at 0xdea15f0>)
agent PreviousPosition:B, CurrentPosition:C --> g = 3530, h = 276, f = 3806, action: ('moveAndDrop', 'C')
agent PreviousPosition:D, CurrentPosition:B --> g = 3500, h = 276, f = 3776, action: ('moveAndDrop', 'B')
agent PreviousPosition:D, CurrentPosition:D --> g = 3402, h = 444, f = 3846, action: ('take', <package.Package instance at 0xdbb8290>)
agent PreviousPosition:D, CurrentPosition:D --> g = 3400, h = 444, f = 3844, action: ('take', <package.Package instance at 0xcdc8fc8>)
agent PreviousPosition:C, CurrentPosition:D --> g = 3398, h = 444, f = 3842, action: ('moveAndDrop', 'D')
agent PreviousPosition:B, CurrentPosition:C --> g = 3358, h = 444, f = 3802, action: ('moveAndDrop', 'C')
agent PreviousPosition:E, CurrentPosition:B --> g = 3328, h = 444, f = 3772, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:E --> g = 3202, h = 660, f = 3862, action: ('take', <package.Package instance at 0x86340e0>)
agent PreviousPosition:E, CurrentPosition:E --> g = 3200, h = 660, f = 3860, action: ('take', <package.Package instance at 0x7c583f8>)
agent PreviousPosition:D, CurrentPosition:E --> g = 3198, h = 660, f = 3858, action: ('moveAndDrop', 'E')
agent PreviousPosition:C, CurrentPosition:D --> g = 3178, h = 660, f = 3838, action: ('moveAndDrop', 'D')
agent PreviousPosition:B, CurrentPosition:C --> g = 3138, h = 660, f = 3798, action: ('moveAndDrop', 'C')
agent PreviousPosition:E, CurrentPosition:B --> g = 3108, h = 660, f = 3768, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:E --> g = 2982, h = 876, f = 3858, action: ('take', <package.Package instance at 0x5a87440>)
agent PreviousPosition:E, CurrentPosition:E --> g = 2980, h = 876, f = 3856, action: ('take', <package.Package instance at 0x5a84a70>)
agent PreviousPosition:A, CurrentPosition:E --> g = 2978, h = 876, f = 3854, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:A --> g = 2857, h = 997, f = 3854, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:B --> g = 2829, h = 1021, f = 3850, action: ('take', <package.Package instance at 0x5a655a8>)
agent PreviousPosition:C, CurrentPosition:B --> g = 2827, h = 1021, f = 3848, action: ('moveAndDrop', 'B')
agent PreviousPosition:C, CurrentPosition:C --> g = 2782, h = 1090, f = 3872, action: ('take', <package.Package instance at 0x59617e8>)
agent PreviousPosition:C, CurrentPosition:C --> g = 2780, h = 1090, f = 3870, action: ('take', <package.Package instance at 0x576c710>)
agent PreviousPosition:D, CurrentPosition:C --> g = 2779, h = 1090, f = 3869, action: ('moveAndDrop', 'C')
agent PreviousPosition:D, CurrentPosition:D --> g = 2731, h = 1178, f = 3909, action: ('take', <package.Package instance at 0x567b878>)
agent PreviousPosition:E, CurrentPosition:D --> g = 2730, h = 1178, f = 3908, action: ('moveAndDrop', 'D')
agent PreviousPosition:E, CurrentPosition:E --> g = 2708, h = 1200, f = 3908, action: ('take', <package.Package instance at 0x56653b0>)
agent PreviousPosition:C, CurrentPosition:E --> g = 2707, h = 1200, f = 3907, action: ('moveAndDrop', 'E')
agent PreviousPosition:C, CurrentPosition:C --> g = 2635, h = 1332, f = 3967, action: ('take', <package.Package instance at 0x53607e8>)
agent PreviousPosition:C, CurrentPosition:C --> g = 2634, h = 1332, f = 3966, action: ('take', <package.Package instance at 0x53347a0>)
agent PreviousPosition:B, CurrentPosition:C --> g = 2633, h = 1332, f = 3965, action: ('moveAndDrop', 'C')
agent PreviousPosition:A, CurrentPosition:B --> g = 2603, h = 1332, f = 3935, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:A --> g = 2583, h = 1332, f = 3915, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:B --> g = 2555, h = 1400, f = 3955, action: ('take', <package.Package instance at 0x514b5f0>)
agent PreviousPosition:C, CurrentPosition:B --> g = 2553, h = 1400, f = 3953, action: ('moveAndDrop', 'B')
agent PreviousPosition:C, CurrentPosition:C --> g = 2517, h = 1466, f = 3983, action: ('take', <package.Package instance at 0x514df80>)
agent PreviousPosition:D, CurrentPosition:C --> g = 2516, h = 1466, f = 3982, action: ('moveAndDrop', 'C')
agent PreviousPosition:E, CurrentPosition:D --> g = 2472, h = 1510, f = 3982, action: ('moveAndDrop', 'D')
agent PreviousPosition:E, CurrentPosition:E --> g = 2450, h = 1532, f = 3982, action: ('take', <package.Package instance at 0x512efc8>)
agent PreviousPosition:C, CurrentPosition:E --> g = 2449, h = 1532, f = 3981, action: ('moveAndDrop', 'E')
agent PreviousPosition:C, CurrentPosition:C --> g = 2371, h = 1670, f = 4041, action: ('take', <package.Package instance at 0x5036950>)
agent PreviousPosition:B, CurrentPosition:C --> g = 2370, h = 1670, f = 4040, action: ('moveAndDrop', 'C')
agent PreviousPosition:B, CurrentPosition:B --> g = 2334, h = 1706, f = 4040, action: ('take', <package.Package instance at 0x501e5f0>)
agent PreviousPosition:A, CurrentPosition:B --> g = 2332, h = 1706, f = 4038, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:A --> g = 2312, h = 1706, f = 4018, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:B --> g = 2284, h = 1774, f = 4058, action: ('take', <package.Package instance at 0x4f219e0>)
agent PreviousPosition:C, CurrentPosition:B --> g = 2282, h = 1774, f = 4056, action: ('moveAndDrop', 'B')
agent PreviousPosition:C, CurrentPosition:C --> g = 2246, h = 1840, f = 4086, action: ('take', <package.Package instance at 0x4e22758>)
agent PreviousPosition:D, CurrentPosition:C --> g = 2245, h = 1840, f = 4085, action: ('moveAndDrop', 'C')
agent PreviousPosition:E, CurrentPosition:D --> g = 2201, h = 1884, f = 4085, action: ('moveAndDrop', 'D')
agent PreviousPosition:E, CurrentPosition:E --> g = 2179, h = 1906, f = 4085, action: ('take', <package.Package instance at 0x4d19d88>)
agent PreviousPosition:C, CurrentPosition:E --> g = 2178, h = 1906, f = 4084, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:C --> g = 2106, h = 1978, f = 4084, action: ('moveAndDrop', 'C')
agent PreviousPosition:B, CurrentPosition:B --> g = 2064, h = 2050, f = 4114, action: ('take', <package.Package instance at 0x4adafc8>)
agent PreviousPosition:B, CurrentPosition:B --> g = 2062, h = 2050, f = 4112, action: ('take', <package.Package instance at 0x4ad13f8>)
agent PreviousPosition:A, CurrentPosition:B --> g = 2060, h = 2050, f = 4110, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:A --> g = 2040, h = 2050, f = 4090, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:B --> g = 2012, h = 2098, f = 4110, action: ('take', <package.Package instance at 0x49c39e0>)
agent PreviousPosition:B, CurrentPosition:B --> g = 2010, h = 2098, f = 4108, action: ('take', <package.Package instance at 0x49babd8>)
agent PreviousPosition:A, CurrentPosition:B --> g = 2008, h = 2098, f = 4106, action: ('moveAndDrop', 'B')
