agent PreviousPosition:None, CurrentPosition:AD --> g = 0, h = 4798, f = 4798, action: None
agent PreviousPosition:AD, CurrentPosition:AD --> g = 2, h = 4798, f = 4800, action: ('take', <package.Package instance at 0x7fdc50be4e60>)
agent PreviousPosition:AD, CurrentPosition:A --> g = 158, h = 4642, f = 4800, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:A --> g = 160, h = 4642, f = 4802, action: ('take', <package.Package instance at 0x275fa70>)
agent PreviousPosition:A, CurrentPosition:L --> g = 304, h = 4498, f = 4802, action: ('moveAndDrop', 'L')
agent PreviousPosition:AD, CurrentPosition:AD --> g = 4, h = 4798, f = 4802, action: ('take', <package.Package instance at 0x7fdc50c0e0e0>)
agent PreviousPosition:L, CurrentPosition:L --> g = 306, h = 4498, f = 4804, action: ('take', <package.Package instance at 0x3f22758>)
agent PreviousPosition:L, CurrentPosition:E --> g = 498, h = 4306, f = 4804, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:A --> g = 162, h = 4642, f = 4804, action: ('take', <package.Package instance at 0x301ea70>)
agent PreviousPosition:E, CurrentPosition:E --> g = 500, h = 4306, f = 4806, action: ('take', <package.Package instance at 0x592f7e8>)
agent PreviousPosition:E, CurrentPosition:O --> g = 668, h = 4138, f = 4806, action: ('moveAndDrop', 'O')
agent PreviousPosition:L, CurrentPosition:L --> g = 309, h = 4498, f = 4807, action: ('take', <package.Package instance at 0x443cab8>)
agent PreviousPosition:O, CurrentPosition:O --> g = 670, h = 4138, f = 4808, action: ('take', <package.Package instance at 0x7980bd8>)
agent PreviousPosition:O, CurrentPosition:A --> g = 790, h = 4018, f = 4808, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:E --> g = 502, h = 4306, f = 4808, action: ('take', <package.Package instance at 0x61e53f8>)
agent PreviousPosition:E, CurrentPosition:O --> g = 698, h = 4018, f = 4716, action: ('moveAndDrop', 'O')
agent PreviousPosition:O, CurrentPosition:AC --> g = 902, h = 3814, f = 4716, action: ('moveAndDrop', 'AC')
