agent PreviousPosition:A, CurrentPosition:B --> g = 30054, h = 0, f = 30054, action: ('moveAndDrop', 'B')
agent PreviousPosition:C, CurrentPosition:A --> g = 30030, h = 24, f = 30054, action: ('moveAndDrop', 'A')
agent PreviousPosition:C, CurrentPosition:C --> g = 29970, h = 36, f = 30006, action: ('take', <package.Package instance at 0x3175710>)
agent PreviousPosition:D, CurrentPosition:C --> g = 29968, h = 36, f = 30004, action: ('moveAndDrop', 'C')
agent PreviousPosition:C, CurrentPosition:D --> g = 29928, h = 36, f = 29964, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:C --> g = 29888, h = 36, f = 29924, action: ('moveAndDrop', 'C')
agent PreviousPosition:A, CurrentPosition:D --> g = 29848, h = 36, f = 29884, action: ('moveAndDrop', 'D')
agent PreviousPosition:C, CurrentPosition:A --> g = 29758, h = 36, f = 29794, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:C --> g = 29708, h = 36, f = 29744, action: ('moveAndDrop', 'C')
agent PreviousPosition:C, CurrentPosition:E --> g = 29648, h = 36, f = 29684, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:C --> g = 29588, h = 36, f = 29624, action: ('moveAndDrop', 'C')
agent PreviousPosition:C, CurrentPosition:B --> g = 29558, h = 36, f = 29594, action: ('moveAndDrop', 'B')
agent PreviousPosition:C, CurrentPosition:C --> g = 29522, h = 72, f = 29594, action: ('take', <package.Package instance at 0x31687a0>)
agent PreviousPosition:B, CurrentPosition:C --> g = 29520, h = 72, f = 29592, action: ('moveAndDrop', 'C')
agent PreviousPosition:C, CurrentPosition:B --> g = 29490, h = 72, f = 29562, action: ('moveAndDrop', 'B')
agent PreviousPosition:C, CurrentPosition:C --> g = 29454, h = 108, f = 29562, action: ('take', <package.Package instance at 0x3155248>)
agent PreviousPosition:B, CurrentPosition:C --> g = 29452, h = 108, f = 29560, action: ('moveAndDrop', 'C')
agent PreviousPosition:A, CurrentPosition:B --> g = 29422, h = 108, f = 29530, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:A --> g = 29402, h = 108, f = 29510, action: ('moveAndDrop', 'A')
agent PreviousPosition:D, CurrentPosition:E --> g = 29292, h = 108, f = 29400, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:D --> g = 29272, h = 108, f = 29380, action: ('moveAndDrop', 'D')
agent PreviousPosition:E, CurrentPosition:B --> g = 29202, h = 108, f = 29310, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:E --> g = 29112, h = 108, f = 29220, action: ('moveAndDrop', 'E')
agent PreviousPosition:C, CurrentPosition:B --> g = 29022, h = 108, f = 29130, action: ('moveAndDrop', 'B')
agent PreviousPosition:C, CurrentPosition:C --> g = 28986, h = 144, f = 29130, action: ('take', <package.Package instance at 0x307dcf8>)
agent PreviousPosition:B, CurrentPosition:C --> g = 28984, h = 144, f = 29128, action: ('moveAndDrop', 'C')
agent PreviousPosition:E, CurrentPosition:B --> g = 28954, h = 144, f = 29098, action: ('moveAndDrop', 'B')
agent PreviousPosition:D, CurrentPosition:E --> g = 28864, h = 144, f = 29008, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:D --> g = 28844, h = 144, f = 28988, action: ('moveAndDrop', 'D')
agent PreviousPosition:B, CurrentPosition:A --> g = 28754, h = 144, f = 28898, action: ('moveAndDrop', 'A')
agent PreviousPosition:D, CurrentPosition:B --> g = 28734, h = 144, f = 28878, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:D --> g = 28664, h = 144, f = 28808, action: ('moveAndDrop', 'D')
agent PreviousPosition:E, CurrentPosition:B --> g = 28594, h = 144, f = 28738, action: ('moveAndDrop', 'B')
agent PreviousPosition:C, CurrentPosition:E --> g = 28504, h = 144, f = 28648, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:C --> g = 28444, h = 144, f = 28588, action: ('moveAndDrop', 'C')
agent PreviousPosition:E, CurrentPosition:B --> g = 28414, h = 144, f = 28558, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:E --> g = 28324, h = 144, f = 28468, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:B --> g = 28234, h = 144, f = 28378, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:E --> g = 28144, h = 144, f = 28288, action: ('moveAndDrop', 'E')
agent PreviousPosition:D, CurrentPosition:B --> g = 28054, h = 144, f = 28198, action: ('moveAndDrop', 'B')
agent PreviousPosition:A, CurrentPosition:D --> g = 27984, h = 144, f = 28128, action: ('moveAndDrop', 'D')
agent PreviousPosition:B, CurrentPosition:A --> g = 27894, h = 144, f = 28038, action: ('moveAndDrop', 'A')
agent PreviousPosition:C, CurrentPosition:B --> g = 27874, h = 144, f = 28018, action: ('moveAndDrop', 'B')
agent PreviousPosition:C, CurrentPosition:C --> g = 27832, h = 216, f = 28048, action: ('take', <package.Package instance at 0x3063c68>)
agent PreviousPosition:C, CurrentPosition:C --> g = 27830, h = 216, f = 28046, action: ('take', <package.Package instance at 0x306abd8>)
agent PreviousPosition:E, CurrentPosition:C --> g = 27828, h = 216, f = 28044, action: ('moveAndDrop', 'C')
