agent PreviousPosition:S, CurrentPosition:C --> g = 85730, h = 0, f = 85730, action: ('moveAndDrop', 'C')
agent PreviousPosition:E, CurrentPosition:S --> g = 85640, h = 150, f = 85790, action: ('moveAndDrop', 'S')
agent PreviousPosition:H, CurrentPosition:E --> g = 85505, h = 225, f = 85730, action: ('moveAndDrop', 'E')
agent PreviousPosition:H, CurrentPosition:H --> g = 85310, h = 350, f = 85660, action: ('take', <package.Package instance at 0x1c616c68>)
agent PreviousPosition:H, CurrentPosition:H --> g = 85307, h = 350, f = 85657, action: ('take', <package.Package instance at 0x1c0ed0e0>)
agent PreviousPosition:E, CurrentPosition:H --> g = 85305, h = 350, f = 85655, action: ('moveAndDrop', 'H')
agent PreviousPosition:O, CurrentPosition:E --> g = 85175, h = 350, f = 85525, action: ('moveAndDrop', 'E')
agent PreviousPosition:U, CurrentPosition:O --> g = 85035, h = 350, f = 85385, action: ('moveAndDrop', 'O')
agent PreviousPosition:A, CurrentPosition:U --> g = 84925, h = 350, f = 85275, action: ('moveAndDrop', 'U')
agent PreviousPosition:V, CurrentPosition:A --> g = 84755, h = 350, f = 85105, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:V --> g = 84545, h = 350, f = 84895, action: ('moveAndDrop', 'V')
agent PreviousPosition:C, CurrentPosition:E --> g = 84295, h = 350, f = 84645, action: ('moveAndDrop', 'E')
agent PreviousPosition:Z, CurrentPosition:C --> g = 84205, h = 350, f = 84555, action: ('moveAndDrop', 'C')
agent PreviousPosition:Q, CurrentPosition:Z --> g = 83965, h = 350, f = 84315, action: ('moveAndDrop', 'Z')
agent PreviousPosition:H, CurrentPosition:Q --> g = 83785, h = 350, f = 84135, action: ('moveAndDrop', 'Q')
agent PreviousPosition:U, CurrentPosition:H --> g = 83625, h = 350, f = 83975, action: ('moveAndDrop', 'H')
agent PreviousPosition:I, CurrentPosition:U --> g = 83405, h = 350, f = 83755, action: ('moveAndDrop', 'U')
agent PreviousPosition:AC, CurrentPosition:I --> g = 83355, h = 350, f = 83705, action: ('moveAndDrop', 'I')
agent PreviousPosition:A, CurrentPosition:AC --> g = 83165, h = 350, f = 83515, action: ('moveAndDrop', 'AC')
agent PreviousPosition:Q, CurrentPosition:A --> g = 82935, h = 350, f = 83285, action: ('moveAndDrop', 'A')
agent PreviousPosition:I, CurrentPosition:Q --> g = 82865, h = 350, f = 83215, action: ('moveAndDrop', 'Q')
agent PreviousPosition:O, CurrentPosition:I --> g = 82735, h = 350, f = 83085, action: ('moveAndDrop', 'I')
agent PreviousPosition:U, CurrentPosition:O --> g = 82615, h = 350, f = 82965, action: ('moveAndDrop', 'O')
agent PreviousPosition:Z, CurrentPosition:U --> g = 82505, h = 350, f = 82855, action: ('moveAndDrop', 'U')
agent PreviousPosition:L, CurrentPosition:Z --> g = 82325, h = 350, f = 82675, action: ('moveAndDrop', 'Z')
agent PreviousPosition:O, CurrentPosition:L --> g = 82215, h = 350, f = 82565, action: ('moveAndDrop', 'L')
agent PreviousPosition:U, CurrentPosition:O --> g = 82155, h = 350, f = 82505, action: ('moveAndDrop', 'O')
agent PreviousPosition:I, CurrentPosition:U --> g = 82045, h = 350, f = 82395, action: ('moveAndDrop', 'U')
agent PreviousPosition:A, CurrentPosition:I --> g = 81995, h = 350, f = 82345, action: ('moveAndDrop', 'I')
agent PreviousPosition:C, CurrentPosition:A --> g = 81875, h = 350, f = 82225, action: ('moveAndDrop', 'A')
agent PreviousPosition:S, CurrentPosition:C --> g = 81815, h = 410, f = 82225, action: ('moveAndDrop', 'C')
agent PreviousPosition:L, CurrentPosition:S --> g = 81743, h = 410, f = 82153, action: ('moveAndDrop', 'S')
agent PreviousPosition:H, CurrentPosition:L --> g = 81635, h = 494, f = 82129, action: ('moveAndDrop', 'L')
agent PreviousPosition:H, CurrentPosition:H --> g = 81383, h = 506, f = 81889, action: ('take', <package.Package instance at 0x1a1e69e0>)
agent PreviousPosition:A, CurrentPosition:H --> g = 81381, h = 506, f = 81887, action: ('moveAndDrop', 'H')
agent PreviousPosition:AC, CurrentPosition:A --> g = 81251, h = 506, f = 81757, action: ('moveAndDrop', 'A')
agent PreviousPosition:Q, CurrentPosition:AC --> g = 81021, h = 506, f = 81527, action: ('moveAndDrop', 'AC')
agent PreviousPosition:U, CurrentPosition:Q --> g = 80841, h = 506, f = 81347, action: ('moveAndDrop', 'Q')
agent PreviousPosition:C, CurrentPosition:U --> g = 80721, h = 506, f = 81227, action: ('moveAndDrop', 'U')
agent PreviousPosition:O, CurrentPosition:C --> g = 80541, h = 506, f = 81047, action: ('moveAndDrop', 'C')
agent PreviousPosition:S, CurrentPosition:O --> g = 80431, h = 506, f = 80937, action: ('moveAndDrop', 'O')
agent PreviousPosition:O, CurrentPosition:S --> g = 80361, h = 506, f = 80867, action: ('moveAndDrop', 'S')
agent PreviousPosition:AD, CurrentPosition:O --> g = 80291, h = 506, f = 80797, action: ('moveAndDrop', 'O')
agent PreviousPosition:O, CurrentPosition:AD --> g = 80221, h = 506, f = 80727, action: ('moveAndDrop', 'AD')
agent PreviousPosition:Z, CurrentPosition:O --> g = 80151, h = 506, f = 80657, action: ('moveAndDrop', 'O')
agent PreviousPosition:AD, CurrentPosition:Z --> g = 79981, h = 506, f = 80487, action: ('moveAndDrop', 'Z')
agent PreviousPosition:Z, CurrentPosition:AD --> g = 79781, h = 506, f = 80287, action: ('moveAndDrop', 'AD')
agent PreviousPosition:AD, CurrentPosition:Z --> g = 79581, h = 506, f = 80087, action: ('moveAndDrop', 'Z')
agent PreviousPosition:H, CurrentPosition:AD --> g = 79381, h = 506, f = 79887, action: ('moveAndDrop', 'AD')
agent PreviousPosition:A, CurrentPosition:H --> g = 79161, h = 506, f = 79667, action: ('moveAndDrop', 'H')
agent PreviousPosition:S, CurrentPosition:A --> g = 79031, h = 506, f = 79537, action: ('moveAndDrop', 'A')
agent PreviousPosition:U, CurrentPosition:S --> g = 78981, h = 506, f = 79487, action: ('moveAndDrop', 'S')
agent PreviousPosition:I, CurrentPosition:U --> g = 78841, h = 506, f = 79347, action: ('moveAndDrop', 'U')
agent PreviousPosition:AD, CurrentPosition:I --> g = 78791, h = 506, f = 79297, action: ('moveAndDrop', 'I')
agent PreviousPosition:S, CurrentPosition:AD --> g = 78641, h = 506, f = 79147, action: ('moveAndDrop', 'AD')
agent PreviousPosition:Z, CurrentPosition:S --> g = 78541, h = 506, f = 79047, action: ('moveAndDrop', 'S')
agent PreviousPosition:AC, CurrentPosition:Z --> g = 78341, h = 506, f = 78847, action: ('moveAndDrop', 'Z')
agent PreviousPosition:V, CurrentPosition:AC --> g = 78241, h = 506, f = 78747, action: ('moveAndDrop', 'AC')
agent PreviousPosition:I, CurrentPosition:V --> g = 78121, h = 506, f = 78627, action: ('moveAndDrop', 'V')
agent PreviousPosition:U, CurrentPosition:I --> g = 77951, h = 506, f = 78457, action: ('moveAndDrop', 'I')
agent PreviousPosition:U, CurrentPosition:U --> g = 77891, h = 566, f = 78457, action: ('take', <package.Package instance at 0x186a3680>)
agent PreviousPosition:Q, CurrentPosition:U --> g = 77889, h = 566, f = 78455, action: ('moveAndDrop', 'U')
agent PreviousPosition:Z, CurrentPosition:Q --> g = 77769, h = 566, f = 78335, action: ('moveAndDrop', 'Q')
agent PreviousPosition:H, CurrentPosition:Z --> g = 77589, h = 566, f = 78155, action: ('moveAndDrop', 'Z')
agent PreviousPosition:Z, CurrentPosition:H --> g = 77269, h = 566, f = 77835, action: ('moveAndDrop', 'H')
agent PreviousPosition:E, CurrentPosition:Z --> g = 76949, h = 566, f = 77515, action: ('moveAndDrop', 'Z')
agent PreviousPosition:L, CurrentPosition:E --> g = 76679, h = 566, f = 77245, action: ('moveAndDrop', 'E')
agent PreviousPosition:U, CurrentPosition:L --> g = 76519, h = 566, f = 77085, action: ('moveAndDrop', 'L')
agent PreviousPosition:I, CurrentPosition:U --> g = 76449, h = 566, f = 77015, action: ('moveAndDrop', 'U')
agent PreviousPosition:AD, CurrentPosition:I --> g = 76399, h = 566, f = 76965, action: ('moveAndDrop', 'I')
agent PreviousPosition:A, CurrentPosition:AD --> g = 76249, h = 566, f = 76815, action: ('moveAndDrop', 'AD')
agent PreviousPosition:L, CurrentPosition:A --> g = 76119, h = 566, f = 76685, action: ('moveAndDrop', 'A')
agent PreviousPosition:Q, CurrentPosition:L --> g = 75999, h = 566, f = 76565, action: ('moveAndDrop', 'L')
agent PreviousPosition:U, CurrentPosition:Q --> g = 75929, h = 566, f = 76495, action: ('moveAndDrop', 'Q')
agent PreviousPosition:L, CurrentPosition:U --> g = 75809, h = 566, f = 76375, action: ('moveAndDrop', 'U')
agent PreviousPosition:E, CurrentPosition:L --> g = 75739, h = 566, f = 76305, action: ('moveAndDrop', 'L')
agent PreviousPosition:U, CurrentPosition:E --> g = 75579, h = 566, f = 76145, action: ('moveAndDrop', 'E')
agent PreviousPosition:C, CurrentPosition:U --> g = 75409, h = 566, f = 75975, action: ('moveAndDrop', 'U')
agent PreviousPosition:O, CurrentPosition:C --> g = 75229, h = 566, f = 75795, action: ('moveAndDrop', 'C')
agent PreviousPosition:E, CurrentPosition:O --> g = 75119, h = 566, f = 75685, action: ('moveAndDrop', 'O')
agent PreviousPosition:L, CurrentPosition:E --> g = 74979, h = 566, f = 75545, action: ('moveAndDrop', 'E')
agent PreviousPosition:V, CurrentPosition:L --> g = 74819, h = 566, f = 75385, action: ('moveAndDrop', 'L')
agent PreviousPosition:A, CurrentPosition:V --> g = 74729, h = 566, f = 75295, action: ('moveAndDrop', 'V')
agent PreviousPosition:H, CurrentPosition:A --> g = 74519, h = 566, f = 75085, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:H --> g = 74389, h = 566, f = 74955, action: ('moveAndDrop', 'H')
agent PreviousPosition:S, CurrentPosition:E --> g = 74259, h = 566, f = 74825, action: ('moveAndDrop', 'E')
agent PreviousPosition:U, CurrentPosition:S --> g = 74169, h = 566, f = 74735, action: ('moveAndDrop', 'S')
agent PreviousPosition:Q, CurrentPosition:U --> g = 74029, h = 566, f = 74595, action: ('moveAndDrop', 'U')
agent PreviousPosition:C, CurrentPosition:Q --> g = 73909, h = 566, f = 74475, action: ('moveAndDrop', 'Q')
agent PreviousPosition:S, CurrentPosition:C --> g = 73829, h = 566, f = 74395, action: ('moveAndDrop', 'C')
agent PreviousPosition:H, CurrentPosition:S --> g = 73769, h = 566, f = 74335, action: ('moveAndDrop', 'S')
agent PreviousPosition:A, CurrentPosition:H --> g = 73629, h = 566, f = 74195, action: ('moveAndDrop', 'H')
agent PreviousPosition:H, CurrentPosition:A --> g = 73499, h = 566, f = 74065, action: ('moveAndDrop', 'A')
agent PreviousPosition:I, CurrentPosition:H --> g = 73369, h = 566, f = 73935, action: ('moveAndDrop', 'H')
agent PreviousPosition:AC, CurrentPosition:I --> g = 73199, h = 566, f = 73765, action: ('moveAndDrop', 'I')
agent PreviousPosition:AD, CurrentPosition:AC --> g = 73009, h = 566, f = 73575, action: ('moveAndDrop', 'AC')
agent PreviousPosition:A, CurrentPosition:AD --> g = 72809, h = 566, f = 73375, action: ('moveAndDrop', 'AD')
agent PreviousPosition:Z, CurrentPosition:A --> g = 72679, h = 566, f = 73245, action: ('moveAndDrop', 'A')
agent PreviousPosition:U, CurrentPosition:Z --> g = 72449, h = 566, f = 73015, action: ('moveAndDrop', 'Z')
agent PreviousPosition:S, CurrentPosition:U --> g = 72269, h = 566, f = 72835, action: ('moveAndDrop', 'U')
agent PreviousPosition:E, CurrentPosition:S --> g = 72129, h = 566, f = 72695, action: ('moveAndDrop', 'S')
agent PreviousPosition:S, CurrentPosition:E --> g = 72039, h = 566, f = 72605, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:S --> g = 71949, h = 566, f = 72515, action: ('moveAndDrop', 'S')
agent PreviousPosition:O, CurrentPosition:E --> g = 71859, h = 566, f = 72425, action: ('moveAndDrop', 'E')
agent PreviousPosition:AC, CurrentPosition:O --> g = 71719, h = 566, f = 72285, action: ('moveAndDrop', 'O')
agent PreviousPosition:H, CurrentPosition:AC --> g = 71549, h = 566, f = 72115, action: ('moveAndDrop', 'AC')
agent PreviousPosition:C, CurrentPosition:H --> g = 71229, h = 566, f = 71795, action: ('moveAndDrop', 'H')
agent PreviousPosition:H, CurrentPosition:C --> g = 71089, h = 566, f = 71655, action: ('moveAndDrop', 'C')
agent PreviousPosition:AC, CurrentPosition:H --> g = 70949, h = 566, f = 71515, action: ('moveAndDrop', 'H')
agent PreviousPosition:E, CurrentPosition:AC --> g = 70629, h = 566, f = 71195, action: ('moveAndDrop', 'AC')
agent PreviousPosition:A, CurrentPosition:E --> g = 70359, h = 566, f = 70925, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:A --> g = 70279, h = 566, f = 70845, action: ('moveAndDrop', 'A')
agent PreviousPosition:H, CurrentPosition:E --> g = 70199, h = 566, f = 70765, action: ('moveAndDrop', 'E')
agent PreviousPosition:S, CurrentPosition:H --> g = 70069, h = 566, f = 70635, action: ('moveAndDrop', 'H')
agent PreviousPosition:Q, CurrentPosition:S --> g = 69929, h = 566, f = 70495, action: ('moveAndDrop', 'S')
agent PreviousPosition:E, CurrentPosition:Q --> g = 69889, h = 566, f = 70455, action: ('moveAndDrop', 'Q')
agent PreviousPosition:AD, CurrentPosition:E --> g = 69779, h = 566, f = 70345, action: ('moveAndDrop', 'E')
