agent PreviousPosition:F, CurrentPosition:A --> g = 15627, h = 0, f = 15627, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:F --> g = 15432, h = 195, f = 15627, action: ('take', <package.Package instance at 0x7fc9bcd51b90>)
agent PreviousPosition:A, CurrentPosition:F --> g = 15427, h = 195, f = 15622, action: ('moveAndDrop', 'F')
agent PreviousPosition:D, CurrentPosition:A --> g = 15297, h = 195, f = 15492, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:D --> g = 15197, h = 195, f = 15392, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:F --> g = 15107, h = 195, f = 15302, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:D --> g = 15017, h = 195, f = 15212, action: ('moveAndDrop', 'D')
agent PreviousPosition:F, CurrentPosition:F --> g = 14882, h = 330, f = 15212, action: ('take', <package.Package instance at 0x7fc9bcd494d0>)
agent PreviousPosition:D, CurrentPosition:F --> g = 14877, h = 330, f = 15207, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:D --> g = 14787, h = 330, f = 15117, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:A --> g = 14687, h = 330, f = 15017, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:D --> g = 14587, h = 330, f = 14917, action: ('moveAndDrop', 'D')
agent PreviousPosition:A, CurrentPosition:E --> g = 14447, h = 330, f = 14777, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:A --> g = 14367, h = 330, f = 14697, action: ('moveAndDrop', 'A')
agent PreviousPosition:D, CurrentPosition:F --> g = 14237, h = 330, f = 14567, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:D --> g = 14147, h = 330, f = 14477, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:A --> g = 14047, h = 330, f = 14377, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:D --> g = 13947, h = 330, f = 14277, action: ('moveAndDrop', 'D')
