agent PreviousPosition:B, CurrentPosition:A --> g = 79021, h = 0, f = 79021, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:B --> g = 78946, h = 75, f = 79021, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:F --> g = 78796, h = 135, f = 78931, action: ('take', <package.Package instance at 0x5a26fc8>)
agent PreviousPosition:E, CurrentPosition:F --> g = 78791, h = 135, f = 78926, action: ('moveAndDrop', 'F')
agent PreviousPosition:B, CurrentPosition:E --> g = 78711, h = 135, f = 78846, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:B --> g = 78611, h = 135, f = 78746, action: ('moveAndDrop', 'B')
agent PreviousPosition:A, CurrentPosition:F --> g = 78511, h = 135, f = 78646, action: ('moveAndDrop', 'F')
agent PreviousPosition:E, CurrentPosition:A --> g = 78421, h = 135, f = 78556, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:E --> g = 78331, h = 135, f = 78466, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:A --> g = 78241, h = 135, f = 78376, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:B --> g = 78191, h = 135, f = 78326, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:E --> g = 78091, h = 135, f = 78226, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:B --> g = 77991, h = 135, f = 78126, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:A --> g = 77941, h = 135, f = 78076, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:E --> g = 77851, h = 135, f = 77986, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:B --> g = 77751, h = 135, f = 77886, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:A --> g = 77701, h = 135, f = 77836, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:E --> g = 77611, h = 135, f = 77746, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:F --> g = 77531, h = 135, f = 77666, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:A --> g = 77441, h = 135, f = 77576, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:F --> g = 77351, h = 135, f = 77486, action: ('moveAndDrop', 'F')
agent PreviousPosition:E, CurrentPosition:B --> g = 77251, h = 135, f = 77386, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:E --> g = 77151, h = 135, f = 77286, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:B --> g = 77051, h = 135, f = 77186, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:E --> g = 76951, h = 135, f = 77086, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:B --> g = 76851, h = 135, f = 76986, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:A --> g = 76801, h = 135, f = 76936, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:B --> g = 76751, h = 135, f = 76886, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:E --> g = 76651, h = 135, f = 76786, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:B --> g = 76551, h = 135, f = 76686, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:A --> g = 76501, h = 135, f = 76636, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:E --> g = 76411, h = 135, f = 76546, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:A --> g = 76321, h = 135, f = 76456, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:E --> g = 76231, h = 135, f = 76366, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:F --> g = 76151, h = 135, f = 76286, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:B --> g = 76051, h = 135, f = 76186, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:A --> g = 76001, h = 135, f = 76136, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:E --> g = 75911, h = 135, f = 76046, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:F --> g = 75831, h = 135, f = 75966, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:E --> g = 75751, h = 135, f = 75886, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:A --> g = 75661, h = 135, f = 75796, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:F --> g = 75571, h = 135, f = 75706, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:B --> g = 75471, h = 135, f = 75606, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:F --> g = 75371, h = 135, f = 75506, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:E --> g = 75291, h = 135, f = 75426, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:A --> g = 75201, h = 135, f = 75336, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:B --> g = 75126, h = 210, f = 75336, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:F --> g = 74976, h = 270, f = 75246, action: ('take', <package.Package instance at 0x5862b48>)
agent PreviousPosition:B, CurrentPosition:F --> g = 74971, h = 270, f = 75241, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:B --> g = 74871, h = 270, f = 75141, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:A --> g = 74821, h = 270, f = 75091, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:E --> g = 74695, h = 396, f = 75091, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:F --> g = 74583, h = 396, f = 74979, action: ('take', <package.Package instance at 0x56f57a0>)
agent PreviousPosition:B, CurrentPosition:F --> g = 74579, h = 396, f = 74975, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:B --> g = 74479, h = 396, f = 74875, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:A --> g = 74429, h = 396, f = 74825, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:F --> g = 74339, h = 396, f = 74735, action: ('moveAndDrop', 'F')
agent PreviousPosition:B, CurrentPosition:A --> g = 74249, h = 396, f = 74645, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:B --> g = 74199, h = 396, f = 74595, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:E --> g = 74099, h = 396, f = 74495, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:B --> g = 73999, h = 396, f = 74395, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:A --> g = 73949, h = 396, f = 74345, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:E --> g = 73859, h = 396, f = 74255, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:F --> g = 73779, h = 396, f = 74175, action: ('moveAndDrop', 'F')
agent PreviousPosition:E, CurrentPosition:B --> g = 73679, h = 396, f = 74075, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:E --> g = 73579, h = 396, f = 73975, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:B --> g = 73479, h = 396, f = 73875, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:A --> g = 73429, h = 396, f = 73825, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:E --> g = 73339, h = 396, f = 73735, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:B --> g = 73239, h = 396, f = 73635, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:A --> g = 73189, h = 396, f = 73585, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:E --> g = 73099, h = 396, f = 73495, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:B --> g = 72999, h = 396, f = 73395, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:A --> g = 72949, h = 396, f = 73345, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:B --> g = 72899, h = 396, f = 73295, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:E --> g = 72799, h = 396, f = 73195, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:F --> g = 72719, h = 396, f = 73115, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:B --> g = 72619, h = 396, f = 73015, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:F --> g = 72519, h = 396, f = 72915, action: ('moveAndDrop', 'F')
agent PreviousPosition:B, CurrentPosition:E --> g = 72439, h = 396, f = 72835, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:B --> g = 72339, h = 396, f = 72735, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:A --> g = 72289, h = 396, f = 72685, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:B --> g = 72239, h = 396, f = 72635, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:A --> g = 72189, h = 396, f = 72585, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:E --> g = 72099, h = 396, f = 72495, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:B --> g = 71999, h = 396, f = 72395, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:E --> g = 71899, h = 396, f = 72295, action: ('moveAndDrop', 'E')
