agent PreviousPosition:None, CurrentPosition:A, g = 0, h = 3799, f = 3799, action: None
agent PreviousPosition:A, CurrentPosition:A --> g = 1, h = 3799, f = 3800, action: ('take', <package.Package instance at 0x7facd6f4b440>)
agent PreviousPosition:A, CurrentPosition:E --> g = 89, h = 3711, f = 3800, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:E --> g = 90, h = 3711, f = 3801, action: ('take', <package.Package instance at 0x7facd6f64b90>)
agent PreviousPosition:E, CurrentPosition:A --> g = 178, h = 3623, f = 3801, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:A --> g = 2, h = 3799, f = 3801, action: ('take', <package.Package instance at 0x7facd6f53f38>)
agent PreviousPosition:A, CurrentPosition:E --> g = 98, h = 3645, f = 3743, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:F --> g = 175, h = 3568, f = 3743, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:F --> g = 176, h = 3568, f = 3744, action: ('take', <package.Package instance at 0x7facd6f1c3f8>)
agent PreviousPosition:F, CurrentPosition:D --> g = 275, h = 3469, f = 3744, action: ('moveAndDrop', 'D')
agent PreviousPosition:E, CurrentPosition:E --> g = 99, h = 3645, f = 3744, action: ('take', <package.Package instance at 0x7facd6f0eb90>)
agent PreviousPosition:E, CurrentPosition:F --> g = 183, h = 3491, f = 3674, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:F --> g = 184, h = 3491, f = 3675, action: ('take', <package.Package instance at 0x7facd6ec8680>)
agent PreviousPosition:F, CurrentPosition:E --> g = 261, h = 3414, f = 3675, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:E --> g = 262, h = 3414, f = 3676, action: ('take', <package.Package instance at 0x7facd6edcdd0>)
agent PreviousPosition:E, CurrentPosition:A --> g = 350, h = 3326, f = 3676, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:F --> g = 185, h = 3491, f = 3676, action: ('take', <package.Package instance at 0x7facd6eca950>)
agent PreviousPosition:F, CurrentPosition:E --> g = 269, h = 3337, f = 3606, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:E --> g = 270, h = 3337, f = 3607, action: ('take', <package.Package instance at 0x7facd6e88950>)
agent PreviousPosition:E, CurrentPosition:D --> g = 424, h = 3183, f = 3607, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:D --> g = 425, h = 3183, f = 3608, action: ('take', <package.Package instance at 0x7facd6e9b128>)
agent PreviousPosition:D, CurrentPosition:A --> g = 535, h = 3073, f = 3608, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:E --> g = 271, h = 3337, f = 3608, action: ('take', <package.Package instance at 0x7facd6e8acb0>)
agent PreviousPosition:E, CurrentPosition:A --> g = 367, h = 3205, f = 3572, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:D --> g = 477, h = 3095, f = 3572, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:D --> g = 478, h = 3095, f = 3573, action: ('take', <package.Package instance at 0x7facd6e4abd8>)
agent PreviousPosition:D, CurrentPosition:E --> g = 632, h = 2941, f = 3573, action: ('moveAndDrop', 'E')
agent PreviousPosition:D, CurrentPosition:D --> g = 479, h = 3095, f = 3574, action: ('take', <package.Package instance at 0x7facd6e529e0>)
agent PreviousPosition:D, CurrentPosition:F --> g = 587, h = 2919, f = 3506, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:E --> g = 664, h = 2842, f = 3506, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:F --> g = 588, h = 2919, f = 3507, action: ('take', <package.Package instance at 0x1fe6170>)
